;Speed;Pressure;Volume;Thickness;Resistance;Type;Def;Time;Cost
1;53,69538;147,3783;0,856553;73,8307;59,854;A;0;8.994.231;139,3071
2;24,24512;420,1691;0,116361;86,52825;41,20305;A;0;1.548.605;125,4488
3;27,48587;230,94;1,021778;95,59757;29,47057;A;0;1.508.998;151,9952
4;42,98278;394,6881;0,184358;70,85981;28,40833;A;0;1.209.135;131,8381
5;38,01477;259,857;1,675142;76,21953;39,21567;A;0;1.230.048;139,3038
6;22,30545;364,7701;1,011536;89,32315;62,18826;A;0;1.472.852;133,8847
7;40,63925;426,0239;2,094083;94,61336;49,5642;A;0;1.202.058;112,4809
8;46,84304;318,4093;3,869572;92,37953;34,40795;A;0;1.041.219;123,6817
9;25,56222;398,2724;0,278146;71,27515;63,14084;A;0;1.419.791;124,7431
10;16,39226;552,1279;0,082334;82,03196;34,73966;A;0;1.747.442;107,4096
11;17,59587;473,3235;0,624635;94,51801;26,71593;A;0;1.738.928;137,3564
12;36,36859;310,7146;1,713879;95,44781;34,03373;A;0;1.237.806;122,2618
13;40,63122;321,3459;0,018742;96,47708;37,99437;A;0;1.224.534;127,44
14;15,20997;318,2914;2,565868;75,26998;31,20334;A;0;1.655.754;137,5648
15;15,25979;224,876;0,053833;97,32512;40,53044;A;0;1.563.508;162,7458
16;24,47412;259,5468;1,332803;93,06618;30,90397;A;0;1.546.026;146,9838
17;18,408;481,0144;0,016614;71,4872;24,31206;A;0;163.454;126,7008
18;25,07314;215,3248;0,133198;91,95854;61,38536;A;0;145.327;154,9883
19;43,93832;314,4223;0,005464;77,0921;58,60028;A;0;1.103.062;128,4189
20;27,406;408,5336;1,458845;73,63696;39,75132;A;0;1.542.387;119,89
21;45,15169;516,5952;0,398208;81,15075;25,66586;A;0;1.103.562;98,65686
22;25,23071;207,9027;0,891106;97,7878;48,37091;A;0;1.538.062;159,9688
23;32,21521;362,8565;0,348242;84,57334;20,06266;A;0;1.335.992;136,9668
24;35,74743;338,1489;2,77523;93,56592;47,7305;A;0;1.290.603;129,4099
25;39,87534;272,6409;0,344467;81,76119;67,2586;A;0;117.147;124,5712
26;14,35264;92,12208;0,94718;73,7821;53,74688;A;0;1.818.267;189,6576
27;44,74816;277,7538;0,71263;96,55447;49,60768;A;0;1.003.764;126,7341
28;35,02588;457,3687;0,21426;93,46644;37,39333;A;0;1.275.923;108,3549
29;34,07915;761,011;3,925661;97,61249;67,66188;A;0;1.411.702;59,45139
30;65,86278;207,3704;0,389771;70,27518;50,99657;A;0;688.644;115,9473
31;32,36636;171,0619;0,484695;83,88275;24,98893;A;0;1.208.239;145,7735
32;45,27631;344,4092;0,306608;72,07445;45,781;A;0;1.149.692;126,1371
33;39,23329;341,7264;4,377389;90,5845;48,24928;A;0;1.224.681;125,1728
34;37,45078;427,3953;0,288196;78,75637;24,82061;A;0;1.234.069;113,454
35;46,14434;509,0799;2,507007;75,57501;21,47086;A;0;1.037.085;92,64692
36;23,68362;230,9015;1,017989;74,86943;68,94687;A;0;1.567.149;156,2827
37;20,72755;519,716;4,762655;70,36396;65,89851;A;0;1.510.521;99,23358
